keypoints,iteration_number,delta_loop,delta_interference,delta_extract_featurepoints,dp,delta_camera,lin_factor
"[[170, 213], [233, 220], [191, 223], [177, 207], [236, 210], [196, 214], [188, 208], [200, 223], [216, 215], [206, 215], [218, 205], [181, 215], [223, 220], [241, 204], [182, 224], [210, 206], [241, 219], [227, 206], [172, 223], [199, 206]]",goal keypoints,,2.427409,2.43437
"[[170, 213], [233, 220], [191, 223], [177, 207], [236, 210], [196, 214], [188, 208], [200, 223], [216, 215], [206, 215], [218, 205], [182, 215], [223, 220], [241, 204], [182, 224], [210, 206], [241, 219], [227, 206], [172, 223], [199, 206]]",1,0.120032,0.026499,0.0318,"[ 1.57317463e-04  1.43693847e-05  3.69857334e-07 -4.77035568e-09
 -4.91416657e-09  1.06229673e-06]",0.037269,0
"[[170, 213], [233, 220], [191, 223], [177, 207], [236, 210], [196, 214], [188, 208], [201, 223], [216, 215], [206, 215], [218, 206], [182, 215], [223, 220], [241, 204], [182, 224], [210, 206], [241, 219], [227, 206], [172, 223], [199, 206]]",2,0.145708,0.024595,0.031691,"[ 1.79487294e-04  9.13869934e-04  5.02381683e-06 -1.01443044e-08
  3.05757159e-08 -5.88481483e-06]",0.075283,0
"[[170, 213], [233, 220], [191, 223], [177, 207], [236, 210], [196, 214], [188, 208], [200, 223], [216, 215], [206, 215], [218, 205], [182, 215], [223, 220], [241, 204], [182, 224], [210, 206], [241, 219], [227, 206], [172, 223], [199, 206]]",3,0.120087,0.026851,0.033696,"[ 1.57317463e-04  1.43693847e-05  3.69857334e-07 -4.77035568e-09
 -4.91416657e-09  1.06229673e-06]",0.046419,0
"[[170, 213], [233, 220], [191, 223], [177, 207], [236, 210], [196, 214], [188, 208], [200, 223], [216, 215], [206, 215], [218, 205], [182, 215], [223, 220], [241, 204], [182, 224], [210, 206], [241, 219], [227, 206], [172, 223], [199, 206]]",4,0.128372,0.024619,0.031765,"[ 1.57317463e-04  1.43693847e-05  3.69857334e-07 -4.77035568e-09
 -4.91416657e-09  1.06229673e-06]",0.05707,0
"[[170, 213], [233, 220], [191, 223], [177, 207], [236, 210], [196, 214], [188, 208], [200, 223], [216, 214], [206, 215], [218, 205], [182, 215], [223, 220], [241, 204], [182, 224], [210, 206], [241, 219], [227, 206], [172, 223], [199, 206]]",5,0.122959,0.023724,0.027785,"[ 9.01858021e-05  5.41280324e-05  3.09719698e-08 -2.12411699e-10
 -5.39057646e-09  7.11961192e-08]",0.056081,0
"[[170, 213], [233, 220], [191, 223], [177, 207], [236, 210], [196, 214], [188, 208], [201, 223], [216, 215], [206, 215], [218, 206], [182, 215], [223, 220], [241, 204], [182, 224], [210, 206], [241, 219], [227, 206], [172, 223], [199, 206]]",6,0.142027,0.022969,0.027303,"[ 1.79487294e-04  9.13869934e-04  5.02381683e-06 -1.01443044e-08
  3.05757159e-08 -5.88481483e-06]",0.076399,0
"[[170, 213], [233, 220], [191, 223], [177, 207], [236, 210], [195, 214], [188, 208], [200, 223], [216, 215], [206, 215], [218, 206], [181, 215], [223, 220], [241, 204], [182, 224], [209, 206], [241, 219], [227, 206], [172, 223], [199, 206]]",7,0.131477,0.022774,0.027057,"[-1.29629030e-04  1.27391803e-03  6.13089835e-06 -6.05177860e-10
  5.39510622e-08 -1.08018702e-05]",0.066077,0
"[[170, 213], [233, 220], [191, 223], [177, 207], [236, 210], [196, 214], [188, 208], [200, 223], [216, 215], [206, 215], [218, 206], [181, 215], [223, 220], [241, 204], [182, 224], [210, 206], [241, 219], [227, 206], [172, 223], [199, 206]]",8,0.135188,0.02465,0.028464,"[ 2.73626581e-05  4.52007582e-04  1.11595853e-06  1.79034369e-08
  1.83477459e-08 -3.23211280e-06]",0.068642,0
"[[170, 213], [233, 220], [191, 223], [177, 207], [236, 210], [195, 214], [188, 208], [200, 223], [216, 215], [205, 215], [218, 206], [181, 215], [223, 220], [241, 204], [182, 224], [209, 206], [241, 219], [227, 207], [172, 223], [198, 206]]",9,0.13781,0.025344,0.032232,"[-1.92484189e-04  2.43475147e-03  1.22144584e-05 -4.44631052e-09
  1.05739870e-07 -2.01464580e-05]",0.065833,0
"[[170, 213], [232, 220], [191, 223], [177, 207], [236, 210], [195, 214], [187, 208], [200, 223], [215, 215], [205, 215], [218, 206], [181, 215], [223, 220], [241, 204], [182, 224], [209, 206], [241, 219], [227, 207], [172, 223], [198, 206]]",10,0.12542,0.024078,0.03109,"[-1.25614585e-04  2.42681118e-03  1.17221496e-05  2.47969148e-09
  1.00823156e-07 -1.91673667e-05]",0.055781,0
"[[170, 213], [233, 220], [191, 223], [177, 207], [236, 210], [195, 214], [188, 208], [200, 223], [216, 215], [206, 215], [218, 206], [181, 215], [223, 220], [241, 204], [182, 224], [209, 206], [241, 219], [227, 207], [172, 223], [199, 206]]",11,0.133378,0.024182,0.028026,"[-3.65487663e-05  1.63994110e-03  7.52493425e-06  1.09432086e-08
  7.12364789e-08 -1.28020359e-05]",0.065737,0
"[[170, 213], [233, 220], [191, 223], [177, 207], [236, 210], [195, 214], [188, 208], [200, 223], [216, 215], [206, 215], [218, 206], [181, 215], [223, 220], [241, 204], [182, 224], [209, 206], [241, 219], [227, 207], [172, 223], [199, 206]]",12,0.131655,0.022723,0.026501,"[-3.65487663e-05  1.63994110e-03  7.52493425e-06  1.09432086e-08
  7.12364789e-08 -1.28020359e-05]",0.066151,0
"[[170, 213], [233, 220], [191, 223], [177, 207], [236, 210], [195, 214], [188, 208], [200, 223], [216, 215], [205, 215], [218, 206], [181, 215], [223, 220], [241, 204], [182, 224], [209, 206], [241, 219], [227, 207], [172, 223], [198, 206]]",13,0.136823,0.022723,0.03004,"[-1.92484189e-04  2.43475147e-03  1.22144584e-05 -4.44631052e-09
  1.05739870e-07 -2.01464580e-05]",0.066864,0
