keypoints,iteration_number,delta_loop,delta_interference,delta_extract_featurepoints,dp,delta_camera,lin_factor
"[[177, 207], [236, 210], [196, 214], [216, 215], [206, 215], [218, 205], [181, 215], [241, 204]]",goal keypoints,,2.425202,2.43239
"[[218, 163], [284, 176], [242, 179], [256, 163], [252, 178], [265, 176], [222, 172], [287, 160]]",1,0.120146,0.025165,0.032078,"[-2.78890453e-03 -5.29510379e-02 -1.12733218e-04 -1.94782276e-06
 -1.23013591e-06  2.82244145e-04]",0.038472,0
"[[218, 163], [284, 176], [242, 179], [256, 163], [252, 178], [265, 176], [223, 172], [287, 160]]",2,0.142679,0.024577,0.031284,"[-2.38140976e-03 -5.27529798e-02 -1.10923393e-04 -1.95947716e-06
 -1.23233590e-06  2.82737543e-04]",0.071504,0
"[[218, 163], [284, 176], [242, 179], [256, 163], [252, 178], [265, 176], [222, 172], [287, 160]]",3,0.118543,0.026888,0.033759,"[-2.78890453e-03 -5.29510379e-02 -1.12733218e-04 -1.94782276e-06
 -1.23013591e-06  2.82244145e-04]",0.046371,0
"[[218, 163], [285, 176], [242, 179], [256, 163], [252, 178], [266, 176], [223, 172], [287, 160]]",4,0.136292,0.024336,0.031194,"[-2.04846807e-03 -5.10464636e-02 -9.72460837e-05 -2.02166974e-06
 -1.14243419e-06  2.68624459e-04]",0.066858,0
"[[218, 164], [285, 176], [242, 179], [256, 163], [252, 179], [266, 176], [223, 172], [287, 160]]",5,0.134512,0.024296,0.028115,"[-2.43065772e-03 -5.13227186e-02 -1.00083137e-04 -2.01835879e-06
 -1.15766303e-06  2.69039079e-04]",0.064353,0
"[[219, 164], [285, 177], [242, 179], [257, 164], [253, 179], [266, 176], [223, 172], [287, 160]]",6,0.127642,0.0241,0.031232,"[-2.05505497e-03 -5.21880834e-02 -1.08253213e-04 -1.94659530e-06
 -1.20803838e-06  2.78970653e-04]",0.056818,0
"[[219, 164], [285, 177], [243, 179], [257, 164], [253, 179], [266, 176], [224, 172], [287, 160]]",7,0.134832,0.022213,0.026328,"[-1.26999449e-03 -5.13961230e-02 -1.01024493e-04 -1.99815411e-06
 -1.19160448e-06  2.76120838e-04]",0.066984,0
"[[219, 164], [285, 177], [243, 179], [257, 164], [253, 179], [266, 176], [224, 172], [287, 160]]",8,0.132854,0.023421,0.027154,"[-1.26999449e-03 -5.13961230e-02 -1.01024493e-04 -1.99815411e-06
 -1.19160448e-06  2.76120838e-04]",0.068113,0
"[[219, 164], [285, 177], [243, 179], [257, 164], [253, 179], [266, 176], [224, 172], [287, 160]]",9,0.133854,0.023644,0.027434,"[-1.26999449e-03 -5.13961230e-02 -1.01024493e-04 -1.99815411e-06
 -1.19160448e-06  2.76120838e-04]",0.068406,0
"[[219, 164], [285, 177], [243, 179], [257, 164], [253, 179], [266, 176], [224, 173], [287, 161]]",10,0.13557,0.024582,0.028383,"[-5.79845011e-04 -4.99492686e-02 -9.09428126e-05 -2.02367037e-06
 -1.13439250e-06  2.67435081e-04]",0.06896,0
"[[219, 164], [285, 177], [243, 179], [258, 164], [253, 179], [266, 176], [224, 173], [288, 161]]",11,0.138469,0.02347,0.027446,"[-2.06039070e-03 -5.24369085e-02 -1.13739301e-04 -1.87856319e-06
 -1.22482476e-06  2.80587475e-04]",0.067115,0
"[[219, 164], [285, 177], [243, 180], [257, 164], [253, 179], [266, 177], [224, 173], [288, 161]]",12,0.128302,0.023007,0.030143,"[-2.08068348e-03 -5.26403797e-02 -1.10397077e-04 -1.95266521e-06
 -1.22559334e-06  2.82825552e-04]",0.059145,0
"[[219, 165], [285, 177], [242, 180], [257, 165], [253, 179], [266, 177], [223, 173], [288, 161]]",13,0.128623,0.022176,0.02959,"[-2.59686225e-03 -5.22349801e-02 -1.13255013e-04 -1.86852307e-06
 -1.20049059e-06  2.76613643e-04]",0.05876,0
"[[219, 165], [285, 177], [242, 180], [257, 165], [253, 179], [266, 177], [223, 173], [288, 161]]",14,0.136113,0.023152,0.030055,"[-2.59686225e-03 -5.22349801e-02 -1.13255013e-04 -1.86852307e-06
 -1.20049059e-06  2.76613643e-04]",0.066922,0
"[[219, 165], [285, 177], [243, 180], [257, 165], [253, 179], [266, 177], [223, 173], [288, 161]]",15,0.133527,0.024425,0.028284,"[-2.18181713e-03 -5.14932614e-02 -1.06697990e-04 -1.91354509e-06
 -1.17523571e-06  2.72176451e-04]",0.066848,0
"[[220, 165], [285, 177], [243, 180], [258, 165], [253, 179], [266, 177], [224, 173], [288, 161]]",16,0.136612,0.024763,0.029641,"[-2.29723139e-03 -5.38204315e-02 -1.23575094e-04 -1.84689044e-06
 -1.29146433e-06  2.92091027e-04]",0.066638,0
"[[220, 165], [286, 178], [243, 180], [258, 165], [254, 179], [267, 177], [224, 173], [288, 161]]",17,0.132352,0.024875,0.031744,"[-1.72502143e-03 -5.20381582e-02 -1.06671094e-04 -1.95548829e-06
 -1.19965432e-06  2.78788538e-04]",0.057909,0
"[[220, 165], [286, 178], [243, 180], [258, 165], [254, 180], [267, 177], [224, 173], [288, 161]]",18,0.125918,0.024024,0.027809,"[-1.75379664e-03 -5.20700732e-02 -1.07720602e-04 -1.93975614e-06
 -1.20131220e-06  2.79033453e-04]",0.057224,0
