keypoints,iteration_number,delta_loop,delta_interference,delta_extract_featurepoints,dp,delta_camera,lin_factor
"[[171, 214], [232, 221], [192, 223], [177, 207], [236, 210], [195, 214], [187, 208], [201, 223], [215, 215], [205, 215], [217, 205], [182, 216], [223, 221], [242, 204], [182, 225], [209, 206], [242, 219], [226, 206], [173, 223], [198, 206]]",goal keypoints,,1.503215,1.51048
"[[218, 171], [284, 155], [237, 153], [227, 154], [294, 168], [251, 170], [239, 169], [247, 154], [262, 152], [262, 170], [274, 168], [230, 162], [274, 153], [296, 150], [229, 171], [266, 162], [292, 159], [284, 168], [218, 158], [253, 159]]",1,0.128201,0.024965,0.029344,"[-1.60366485e-02 -8.37371735e-02 -2.31362937e-04 -3.08048567e-06
 -2.24717744e-06  4.60970628e-04]",0.048105,0
"[[218, 171], [284, 155], [237, 153], [227, 154], [294, 168], [251, 170], [239, 169], [247, 155], [262, 152], [262, 170], [274, 168], [230, 162], [274, 153], [296, 150], [229, 171], [266, 162], [292, 159], [284, 168], [218, 158], [253, 159]]",2,0.15347,0.024117,0.031372,"[-1.59073323e-02 -8.34291052e-02 -2.29998746e-04 -3.06897802e-06
 -2.23411042e-06  4.58827418e-04]",0.085179,0
"[[219, 171], [285, 156], [238, 153], [228, 154], [295, 168], [252, 170], [240, 169], [248, 155], [264, 153], [263, 170], [275, 169], [231, 163], [275, 154], [296, 151], [230, 171], [267, 163], [293, 160], [285, 169], [219, 158], [254, 160]]",3,0.116059,0.027193,0.034397,"[-1.60720553e-02 -8.45791039e-02 -2.34462765e-04 -3.12582297e-06
 -2.28978927e-06  4.67027785e-04]",0.036883,0
"[[220, 172], [286, 157], [239, 154], [229, 156], [296, 169], [253, 172], [241, 170], [249, 157], [266, 154], [263, 171], [276, 170], [233, 164], [277, 155], [297, 152], [232, 172], [269, 164], [294, 161], [286, 169], [221, 159], [256, 161]]",4,0.124881,0.025831,0.029912,"[-1.60380881e-02 -8.58590642e-02 -2.41866869e-04 -3.08248333e-06
 -2.32612369e-06  4.76908366e-04]",0.056658,0
"[[222, 173], [287, 159], [240, 156], [230, 157], [297, 171], [254, 172], [242, 171], [250, 158], [267, 155], [265, 172], [278, 171], [234, 165], [278, 157], [299, 153], [233, 173], [270, 165], [296, 163], [288, 170], [222, 161], [258, 161]]",5,0.135934,0.02439,0.028374,"[-1.46900735e-02 -8.31090381e-02 -2.27037004e-04 -3.01582881e-06
 -2.19567714e-06  4.56787172e-04]",0.06818,0
"[[223, 174], [288, 161], [241, 158], [232, 158], [298, 171], [255, 173], [244, 172], [251, 160], [267, 157], [266, 173], [278, 171], [235, 166], [278, 159], [300, 154], [235, 175], [270, 166], [296, 164], [288, 171], [223, 163], [258, 162]]",6,0.12766,0.023915,0.027847,"[-1.17848483e-02 -7.87532598e-02 -2.01203640e-04 -2.96292387e-06
 -2.02728731e-06  4.32199009e-04]",0.062793,0
"[[224, 175], [289, 163], [243, 160], [233, 159], [299, 172], [256, 174], [245, 172], [253, 162], [270, 159], [267, 174], [280, 172], [237, 167], [281, 162], [301, 155], [236, 176], [272, 167], [297, 166], [289, 172], [224, 164], [259, 164]]",7,0.145241,0.025187,0.029108,"[-1.11718895e-02 -7.81337271e-02 -2.07502012e-04 -2.76164625e-06
 -2.01055101e-06  4.27877044e-04]",0.066829,0
"[[225, 176], [290, 165], [244, 161], [233, 160], [300, 173], [257, 176], [246, 173], [255, 164], [271, 160], [267, 175], [280, 173], [238, 169], [282, 163], [302, 156], [237, 177], [272, 168], [299, 167], [290, 173], [226, 165], [260, 165]]",8,0.1236,0.024941,0.028833,"[-1.05243585e-02 -7.68035796e-02 -2.06149544e-04 -2.64006966e-06
 -1.96450323e-06  4.18083528e-04]",0.057616,0
"[[226, 177], [292, 166], [246, 163], [235, 161], [301, 174], [258, 176], [246, 174], [257, 165], [272, 162], [269, 176], [281, 173], [239, 170], [282, 164], [303, 157], [239, 178], [273, 169], [301, 168], [291, 173], [228, 166], [261, 166]]",9,0.137159,0.025891,0.029835,"[-9.57627655e-03 -7.52470881e-02 -2.01470191e-04 -2.55538449e-06
 -1.90981598e-06  4.07430586e-04]",0.06781,0
"[[227, 178], [293, 168], [248, 164], [236, 162], [301, 175], [259, 177], [247, 175], [258, 167], [273, 163], [269, 177], [282, 174], [240, 171], [284, 166], [305, 158], [240, 179], [273, 170], [302, 169], [292, 175], [229, 168], [261, 167]]",10,0.122703,0.024918,0.028922,"[-9.07287881e-03 -7.44821466e-02 -2.08386809e-04 -2.33726991e-06
 -1.88892206e-06  4.02216615e-04]",0.056474,0
"[[229, 178], [295, 170], [251, 166], [237, 164], [303, 176], [260, 178], [249, 175], [262, 169], [277, 165], [271, 178], [283, 175], [242, 172], [287, 168], [306, 159], [242, 180], [275, 170], [303, 171], [293, 175], [232, 169], [263, 167]]",11,0.144482,0.024068,0.028232,"[-7.15109927e-03 -7.12793514e-02 -2.11108670e-04 -1.97172752e-06
 -1.80981698e-06  3.81414861e-04]",0.078159,0
"[[229, 179], [297, 171], [252, 168], [238, 165], [303, 177], [260, 179], [249, 176], [263, 171], [277, 166], [271, 179], [283, 175], [242, 173], [288, 169], [307, 161], [243, 181], [275, 171], [305, 172], [294, 176], [233, 171], [263, 168]]",12,0.1266,0.025803,0.029832,"[-5.96963358e-03 -6.70193220e-02 -1.98825155e-04 -1.77805321e-06
 -1.65722593e-06  3.49568768e-04]",0.056808,0
"[[230, 179], [297, 171], [254, 169], [239, 166], [304, 178], [260, 179], [249, 176], [264, 172], [278, 167], [271, 179], [284, 176], [243, 174], [288, 170], [308, 161], [244, 182], [275, 172], [306, 173], [294, 176], [235, 172], [264, 168]]",13,0.134338,0.025178,0.029541,"[-4.76336327e-03 -6.50278027e-02 -1.99370580e-04 -1.57081929e-06
 -1.60809820e-06  3.37850292e-04]",0.067825,0
"[[230, 180], [298, 173], [256, 171], [240, 166], [304, 178], [261, 180], [250, 177], [266, 174], [280, 168], [272, 180], [284, 177], [244, 175], [290, 172], [308, 163], [245, 183], [275, 172], [307, 174], [294, 177], [236, 174], [264, 169]]",14,0.133796,0.024908,0.029096,"[-1.98099455e-03 -5.84774010e-02 -1.81719914e-04 -1.26832225e-06
 -1.41495340e-06  2.95017666e-04]",0.067455,0
"[[230, 181], [299, 174], [257, 172], [240, 168], [305, 179], [261, 181], [249, 177], [267, 176], [281, 169], [272, 181], [284, 177], [244, 176], [291, 173], [309, 164], [245, 184], [275, 173], [308, 175], [294, 178], [237, 175], [265, 170]]",15,0.141009,0.026465,0.033831,"[-1.69234438e-03 -5.56052763e-02 -1.80790783e-04 -1.03604952e-06
 -1.31842613e-06  2.71396884e-04]",0.067201,0
"[[231, 181], [300, 174], [257, 173], [241, 169], [304, 181], [261, 182], [249, 178], [268, 176], [281, 169], [272, 182], [284, 178], [245, 177], [291, 173], [309, 165], [246, 185], [275, 174], [308, 176], [294, 179], [238, 177], [265, 170]]",16,0.129483,0.025003,0.032415,"[-1.98606124e-03 -5.81072579e-02 -1.91179755e-04 -1.10973971e-06
 -1.42965473e-06  2.92077183e-04]",0.057218,0
"[[231, 182], [300, 174], [258, 174], [241, 170], [304, 182], [260, 182], [249, 178], [267, 178], [281, 170], [272, 183], [284, 179], [245, 178], [291, 174], [309, 166], [246, 187], [275, 175], [308, 177], [294, 180], [238, 179], [265, 170]]",17,0.130018,0.025626,0.032975,"[-4.33226151e-04 -5.38337171e-02 -1.75859710e-04 -9.82429274e-07
 -1.29434663e-06  2.64370841e-04]",0.057157,0
"[[231, 182], [301, 175], [260, 176], [241, 171], [305, 182], [262, 183], [250, 178], [269, 180], [283, 172], [273, 184], [285, 180], [246, 179], [293, 176], [309, 167], [247, 187], [276, 175], [309, 179], [295, 181], [239, 180], [267, 171]]",18,0.138031,0.027627,0.031917,"[ 2.59873457e-03 -4.62125179e-02 -1.46009184e-04 -7.83636794e-07
 -1.03781424e-06  2.14284053e-04]",0.068626,0
