keypoints,iteration_number,delta_loop,delta_interference,delta_extract_featurepoints,dp,delta_camera,lin_factor
"[[177, 207], [236, 210], [195, 214], [215, 215], [205, 215], [217, 205], [182, 216], [242, 204]]",goal keypoints,,2.401162,2.408265
"[[218, 164], [285, 176], [240, 178], [257, 164], [251, 178], [264, 175], [222, 172], [287, 159]]",1,0.15961,0.023503,0.02761,"[-3.09294045e-03 -5.22892040e-02 -1.12465599e-04 -1.87699215e-06
 -1.18433205e-06  2.73711382e-04]",0.087973,0
"[[218, 164], [285, 176], [240, 178], [257, 164], [251, 178], [264, 175], [222, 172], [287, 159]]",2,0.147083,0.024691,0.031768,"[-3.09294045e-03 -5.22892040e-02 -1.12465599e-04 -1.87699215e-06
 -1.18433205e-06  2.73711382e-04]",0.075761,0
"[[218, 164], [284, 176], [240, 179], [257, 165], [251, 178], [264, 175], [222, 172], [287, 160]]",3,0.12757,0.023772,0.030735,"[-2.22482049e-03 -5.15436748e-02 -1.10285605e-04 -1.82085812e-06
 -1.16854898e-06  2.72967347e-04]",0.057237,0
"[[218, 164], [284, 177], [241, 179], [258, 165], [251, 179], [264, 176], [223, 173], [288, 160]]",4,0.125424,0.02356,0.027352,"[-3.42903625e-03 -5.48764482e-02 -1.34856454e-04 -1.73286196e-06
 -1.30834339e-06  2.95697269e-04]",0.056677,0
"[[219, 165], [285, 177], [241, 179], [258, 166], [252, 179], [265, 176], [223, 173], [287, 161]]",5,0.132868,0.022258,0.026763,"[-8.07024082e-04 -4.97687134e-02 -9.45434772e-05 -1.91445573e-06
 -1.10788302e-06  2.64945047e-04]",0.066971,0
"[[219, 166], [285, 178], [241, 180], [258, 167], [251, 180], [264, 176], [223, 174], [288, 161]]",6,0.133898,0.024481,0.028207,"[-2.06317939e-03 -5.12566009e-02 -1.16631233e-04 -1.69016257e-06
 -1.17080549e-06  2.71785940e-04]",0.067507,0
"[[219, 166], [284, 178], [241, 180], [258, 167], [251, 180], [264, 177], [223, 175], [288, 162]]",7,0.133232,0.023197,0.026994,"[-2.13452040e-03 -5.29331996e-02 -1.26383670e-04 -1.67640312e-06
 -1.24918438e-06  2.87335378e-04]",0.067497,0
"[[219, 167], [285, 179], [241, 180], [259, 168], [252, 180], [264, 177], [224, 175], [288, 163]]",8,0.133735,0.024219,0.028051,"[-7.59563829e-04 -4.98071622e-02 -1.05802496e-04 -1.72645931e-06
 -1.12923739e-06  2.67094114e-04]",0.066977,0
"[[220, 167], [285, 179], [241, 181], [260, 169], [252, 181], [264, 177], [224, 175], [288, 163]]",9,0.140105,0.023012,0.026807,"[-8.92514348e-04 -5.10429659e-02 -1.20035144e-04 -1.59786642e-06
 -1.19430515e-06  2.77476644e-04]",0.07391,0
