keypoints,iteration_number,delta_loop,delta_interference,delta_extract_featurepoints,dp,delta_camera,lin_factor
"[[171, 214], [232, 221], [192, 223], [177, 207], [236, 210], [195, 214], [187, 208], [201, 223], [215, 215], [205, 215], [217, 205], [182, 216], [223, 221], [242, 204], [182, 225], [209, 206], [242, 219], [226, 206], [173, 223], [198, 206]]",goal keypoints,,1.441457,1.448678
"[[200, 172], [266, 156], [219, 154], [209, 155], [277, 168], [233, 171], [221, 170], [229, 156], [246, 153], [244, 170], [257, 169], [213, 163], [257, 154], [278, 151], [212, 172], [250, 163], [275, 160], [267, 169], [201, 159], [236, 160]]",1,0.143373,0.026822,0.031591,"[-1.46502260e-02 -7.93388719e-02 -1.93442376e-04 -3.33378916e-06
 -2.21944780e-06  4.59730491e-04]",0.068503,0
"[[200, 172], [266, 156], [219, 154], [209, 155], [277, 168], [233, 171], [221, 170], [229, 156], [246, 153], [243, 170], [257, 169], [213, 163], [257, 154], [278, 151], [212, 172], [250, 163], [274, 160], [267, 169], [201, 159], [236, 160]]",2,0.157806,0.023643,0.028048,"[-1.45661357e-02 -7.96684942e-02 -1.95258625e-04 -3.32757364e-06
 -2.23636661e-06  4.63695347e-04]",0.082898,0
"[[201, 173], [267, 156], [220, 154], [210, 156], [278, 169], [234, 172], [222, 170], [230, 156], [247, 154], [244, 171], [258, 170], [214, 164], [259, 155], [279, 152], [212, 173], [250, 164], [276, 161], [268, 170], [201, 160], [237, 161]]",3,0.106373,0.026236,0.029992,"[-1.51070387e-02 -8.07045032e-02 -2.02739280e-04 -3.28945759e-06
 -2.26153509e-06  4.68291489e-04]",0.037996,0
"[[203, 174], [268, 158], [221, 156], [212, 157], [278, 171], [235, 173], [223, 171], [232, 158], [248, 155], [246, 172], [259, 171], [215, 165], [259, 156], [280, 153], [214, 174], [251, 165], [276, 162], [269, 170], [203, 161], [238, 162]]",4,0.123808,0.024958,0.029011,"[-1.35926764e-02 -8.00069089e-02 -1.97118180e-04 -3.27210982e-06
 -2.24630155e-06  4.69424611e-04]",0.057793,0
"[[204, 175], [269, 161], [222, 158], [212, 158], [279, 172], [236, 174], [225, 172], [232, 160], [249, 157], [247, 173], [260, 171], [216, 166], [260, 159], [281, 154], [216, 175], [252, 166], [277, 164], [270, 171], [204, 163], [239, 163]]",5,0.137662,0.024704,0.028689,"[-1.14864462e-02 -7.48793392e-02 -1.68849183e-04 -3.21148973e-06
 -2.02863688e-06  4.32491142e-04]",0.067057,0
"[[205, 176], [272, 163], [224, 160], [214, 159], [281, 172], [237, 175], [226, 173], [234, 162], [251, 159], [248, 174], [262, 172], [218, 168], [263, 161], [282, 155], [217, 176], [254, 167], [280, 166], [271, 172], [205, 164], [240, 164]]",6,0.136191,0.024692,0.028753,"[-1.15791178e-02 -7.41010233e-02 -1.75266902e-04 -2.99675521e-06
 -1.97951029e-06  4.21546589e-04]",0.067936,0
"[[206, 176], [272, 165], [225, 161], [215, 160], [282, 173], [239, 176], [227, 174], [236, 164], [253, 160], [249, 175], [262, 173], [219, 169], [263, 163], [284, 156], [218, 177], [254, 168], [281, 167], [272, 173], [207, 166], [241, 165]]",7,0.133525,0.025085,0.029051,"[-1.04546968e-02 -7.25639316e-02 -1.72434680e-04 -2.85807264e-06
 -1.92519340e-06  4.12750895e-04]",0.066682,0
"[[207, 177], [273, 166], [227, 163], [216, 162], [282, 174], [239, 177], [227, 174], [237, 165], [253, 162], [250, 176], [263, 174], [220, 170], [264, 164], [284, 157], [220, 179], [254, 169], [282, 168], [273, 174], [209, 167], [242, 166]]",8,0.134289,0.024048,0.028554,"[-9.28904471e-03 -7.10341574e-02 -1.65552964e-04 -2.81642994e-06
 -1.88316586e-06  4.04754521e-04]",0.067267,0
"[[208, 178], [275, 168], [230, 165], [217, 163], [283, 175], [240, 178], [228, 175], [240, 167], [255, 163], [251, 177], [263, 174], [221, 171], [266, 166], [286, 158], [222, 180], [255, 170], [283, 170], [273, 175], [211, 168], [242, 167]]",9,0.137239,0.026786,0.030456,"[-8.75349742e-03 -7.00321660e-02 -1.81559022e-04 -2.43768962e-06
 -1.88157016e-06  3.96823559e-04]",0.067004,0
