keypoints,iteration_number,delta_loop,delta_interference,delta_extract_featurepoints,dp,delta_camera,lin_factor
"[[171, 214], [232, 221], [192, 223], [177, 207], [236, 210], [195, 214], [187, 208], [201, 223], [215, 215], [205, 215], [217, 205], [182, 216], [223, 221], [242, 204], [182, 225], [209, 206], [242, 219], [226, 206], [173, 223], [198, 206]]",goal keypoints,,1.425881,1.433124
"[[199, 183], [269, 179], [225, 182], [209, 172], [273, 183], [228, 183], [217, 178], [235, 184], [249, 175], [239, 184], [252, 180], [213, 180], [259, 179], [277, 169], [213, 190], [243, 176], [277, 181], [262, 181], [205, 185], [232, 172]]",1,0.141522,0.025909,0.030256,"[ 4.54282962e-03 -1.48333482e-02 -1.84142875e-05 -9.00897597e-08
  8.89028492e-09  7.45257972e-06]",0.068544,0
"[[199, 183], [269, 178], [225, 182], [209, 172], [273, 183], [228, 183], [217, 178], [235, 184], [249, 175], [239, 184], [252, 180], [213, 180], [259, 179], [277, 169], [213, 190], [243, 176], [277, 181], [262, 181], [205, 185], [232, 172]]",2,0.151735,0.024134,0.031383,"[ 4.16861091e-03 -1.57785261e-02 -2.27677153e-05 -1.15849202e-07
 -3.13489655e-08  1.33273669e-05]",0.081652,0
"[[199, 183], [268, 183], [224, 186], [208, 174], [272, 183], [228, 183], [217, 178], [234, 187], [249, 178], [239, 184], [251, 179], [212, 182], [258, 183], [277, 169], [213, 191], [242, 175], [276, 183], [261, 180], [203, 188], [232, 173]]",3,0.118916,0.02499,0.03228,"[ 6.67952176e-03 -2.92687703e-03  1.21145230e-05  4.25121965e-07
  4.11999405e-07 -8.09236198e-05]",0.046926,0
"[[200, 182], [268, 187], [224, 188], [208, 175], [272, 181], [229, 182], [219, 177], [234, 189], [249, 181], [240, 184], [253, 175], [212, 183], [259, 187], [276, 171], [213, 192], [244, 175], [276, 186], [262, 176], [203, 189], [232, 175]]",4,0.13363,0.023273,0.027398,"[ 7.65008484e-03 -3.36053467e-03  6.19479305e-06  5.38931379e-07
  4.01176340e-07 -6.93682497e-05]",0.06768,0
"[[199, 182], [267, 188], [223, 189], [207, 175], [272, 181], [228, 182], [218, 177], [233, 190], [248, 182], [239, 184], [252, 175], [211, 183], [258, 188], [276, 171], [212, 192], [243, 175], [276, 187], [261, 176], [202, 190], [231, 175]]",5,0.12858,0.026445,0.030506,"[ 6.61259922e-03 -5.96606255e-03 -7.38124230e-07  4.34096653e-07
  3.32010354e-07 -5.04727437e-05]",0.057219,0
"[[198, 183], [266, 188], [222, 190], [206, 176], [270, 180], [227, 183], [217, 177], [232, 190], [247, 182], [237, 184], [250, 174], [211, 183], [257, 188], [275, 172], [211, 192], [241, 175], [275, 187], [260, 175], [201, 191], [230, 175]]",6,0.135013,0.026243,0.029977,"[ 5.74503493e-03 -5.10750285e-03 -2.13680070e-06  4.36857318e-07
  3.11744739e-07 -6.17087408e-05]",0.067114,0
"[[198, 183], [266, 189], [220, 190], [206, 176], [270, 181], [227, 183], [216, 177], [231, 191], [246, 182], [237, 184], [250, 175], [210, 184], [256, 188], [274, 173], [210, 193], [241, 175], [275, 188], [260, 176], [200, 191], [229, 176]]",7,0.134967,0.025336,0.029122,"[ 5.61151009e-03 -6.55491240e-03 -8.63369402e-06  4.71351078e-07
  2.91829093e-07 -4.71606797e-05]",0.06949,0
"[[197, 184], [264, 189], [219, 191], [204, 177], [269, 181], [225, 184], [215, 178], [229, 191], [244, 183], [236, 185], [249, 176], [208, 185], [254, 189], [273, 173], [209, 194], [240, 176], [273, 188], [259, 177], [199, 192], [228, 176]]",8,0.13539,0.024639,0.028807,"[ 4.48989229e-03 -6.54980052e-03 -2.07987202e-05  5.90072186e-07
  2.43696970e-07 -5.05709259e-05]",0.067955,0
"[[196, 184], [264, 190], [220, 192], [204, 178], [268, 183], [225, 184], [215, 178], [229, 192], [244, 184], [235, 186], [248, 176], [209, 186], [254, 190], [272, 174], [209, 195], [239, 176], [272, 190], [258, 177], [199, 193], [228, 177]]",9,0.125851,0.025318,0.02943,"[ 5.17614008e-03 -8.57893633e-03 -1.57168429e-05  3.43815608e-07
  1.64960461e-07 -2.48971408e-05]",0.05719,0
"[[196, 185], [264, 191], [220, 193], [204, 178], [268, 183], [225, 185], [215, 179], [230, 193], [245, 185], [236, 187], [249, 177], [209, 186], [254, 191], [272, 175], [209, 195], [239, 178], [272, 191], [258, 178], [199, 194], [228, 178]]",10,0.148404,0.024925,0.028902,"[ 5.46160555e-03 -8.12354953e-03 -1.39701073e-05  3.56715594e-07
  1.86152355e-07 -2.51114933e-05]",0.081199,0
"[[195, 187], [263, 192], [218, 194], [202, 179], [267, 184], [223, 186], [213, 180], [228, 194], [243, 186], [234, 188], [247, 178], [207, 188], [253, 192], [271, 176], [207, 197], [237, 178], [272, 192], [257, 179], [198, 195], [226, 179]]",11,0.123738,0.023778,0.027801,"[ 4.03665223e-03 -6.58829794e-03 -7.46119628e-06  3.06052234e-07
  2.43108912e-07 -4.30058442e-05]",0.057482,0
"[[195, 187], [262, 193], [217, 195], [202, 180], [266, 185], [223, 187], [213, 181], [227, 195], [243, 187], [233, 188], [247, 179], [206, 188], [252, 192], [271, 177], [207, 197], [238, 179], [271, 192], [256, 180], [197, 196], [226, 180]]",12,0.135383,0.025745,0.029512,"[ 4.10447868e-03 -7.66475783e-03 -2.43612764e-05  4.93811316e-07
  1.79083825e-07 -3.02619895e-05]",0.067611,0
"[[195, 188], [260, 194], [217, 196], [202, 181], [266, 186], [222, 187], [213, 181], [226, 196], [242, 187], [233, 189], [246, 179], [206, 189], [251, 194], [270, 178], [207, 198], [237, 180], [270, 193], [256, 181], [197, 197], [225, 180]]",13,0.136214,0.026019,0.029736,"[ 4.46216230e-03 -9.82623674e-03 -2.97362805e-05  3.91899959e-07
  7.43395818e-08 -5.48903812e-06]",0.068678,0
"[[194, 189], [261, 195], [217, 196], [201, 182], [265, 186], [223, 189], [213, 182], [227, 197], [242, 189], [233, 190], [246, 180], [206, 190], [252, 195], [270, 178], [207, 199], [237, 181], [270, 194], [255, 181], [197, 197], [225, 181]]",14,0.125828,0.02563,0.029696,"[ 4.26894401e-03 -7.58091530e-03 -1.57931084e-05  3.00797118e-07
  1.51385398e-07 -2.45680942e-05]",0.057012,0
