keypoints,iteration_number,delta_loop,delta_interference,delta_extract_featurepoints,dp,delta_camera,lin_factor
"[[177, 207], [236, 210], [195, 214], [215, 215], [205, 215], [217, 205], [182, 216], [242, 204]]",goal keypoints,,2.408418,2.415409
"[[218, 164], [285, 176], [240, 178], [257, 164], [251, 178], [264, 175], [222, 172], [287, 159]]",1,0.152563,0.022837,0.03007,"[-3.09294045e-03 -5.22892040e-02 -1.12465599e-04 -1.87699215e-06
 -1.18433205e-06  2.73711382e-04]",0.078106,0
"[[218, 164], [285, 176], [240, 178], [257, 164], [251, 178], [264, 175], [222, 172], [287, 159]]",2,0.143254,0.024232,0.02794,"[-3.09294045e-03 -5.22892040e-02 -1.12465599e-04 -1.87699215e-06
 -1.18433205e-06  2.73711382e-04]",0.076275,0
"[[218, 164], [284, 176], [240, 179], [257, 165], [251, 178], [264, 175], [222, 172], [287, 160]]",3,0.119757,0.026496,0.033314,"[-2.22482049e-03 -5.15436748e-02 -1.10285605e-04 -1.82085812e-06
 -1.16854898e-06  2.72967347e-04]",0.047492,0
"[[218, 165], [284, 177], [241, 179], [258, 165], [251, 179], [264, 176], [223, 173], [288, 160]]",4,0.130651,0.024284,0.031153,"[-3.74807202e-03 -5.51860204e-02 -1.36883378e-04 -1.74596758e-06
 -1.32504556e-06  2.96642874e-04]",0.058087,0
"[[219, 165], [285, 177], [241, 179], [258, 166], [252, 179], [265, 176], [223, 173], [287, 161]]",5,0.13784,0.024219,0.031135,"[-8.07024082e-04 -4.97687134e-02 -9.45434772e-05 -1.91445573e-06
 -1.10788302e-06  2.64945047e-04]",0.067057,0
"[[219, 166], [285, 178], [241, 180], [258, 167], [252, 180], [264, 176], [223, 174], [288, 161]]",6,0.130218,0.022926,0.026694,"[-1.79089357e-03 -5.05455909e-02 -1.10496076e-04 -1.73378902e-06
 -1.14442401e-06  2.66753510e-04]",0.06367,0
"[[219, 166], [284, 178], [241, 180], [258, 167], [251, 180], [264, 176], [223, 174], [288, 162]]",7,0.133552,0.023113,0.027595,"[-1.60310924e-03 -5.17780435e-02 -1.19786657e-04 -1.66617565e-06
 -1.20168691e-06  2.79856107e-04]",0.067314,0
"[[219, 167], [285, 179], [241, 180], [259, 168], [252, 180], [264, 177], [224, 175], [288, 163]]",8,0.132114,0.023239,0.027088,"[-7.59563829e-04 -4.98071622e-02 -1.05802496e-04 -1.72645931e-06
 -1.12923739e-06  2.67094114e-04]",0.066439,0
"[[220, 167], [285, 179], [241, 181], [260, 169], [252, 181], [264, 177], [224, 176], [288, 163]]",9,0.129461,0.023503,0.027288,"[-9.05337795e-04 -5.05468013e-02 -1.19511030e-04 -1.57191578e-06
 -1.18115995e-06  2.72998366e-04]",0.066787,0
