keypoints,iteration_number,delta_loop,delta_interference,delta_extract_featurepoints,dp,delta_camera,lin_factor
"[[177, 207], [236, 210], [195, 214], [215, 215], [205, 215], [217, 205], [182, 216], [242, 204]]",goal keypoints,,2.465307,2.472378
"[[218, 164], [285, 176], [240, 178], [257, 164], [251, 178], [264, 175], [222, 172], [287, 159]]",1,0.118576,0.026341,0.03058,"[-3.09294045e-03 -5.22892040e-02 -1.12465599e-04 -1.87699215e-06
 -1.18433205e-06  2.73711382e-04]",0.03759,0
"[[218, 164], [285, 176], [240, 178], [257, 164], [251, 178], [264, 175], [222, 172], [287, 159]]",2,0.147167,0.024298,0.031414,"[-3.09294045e-03 -5.22892040e-02 -1.12465599e-04 -1.87699215e-06
 -1.18433205e-06  2.73711382e-04]",0.076765,0
"[[218, 164], [284, 176], [240, 179], [257, 165], [251, 178], [264, 175], [222, 172], [287, 160]]",3,0.119607,0.026347,0.033355,"[-2.22482049e-03 -5.15436748e-02 -1.10285605e-04 -1.82085812e-06
 -1.16854898e-06  2.72967347e-04]",0.046785,0
"[[218, 164], [284, 177], [241, 179], [258, 165], [251, 179], [264, 176], [223, 173], [288, 161]]",4,0.123745,0.024853,0.028618,"[-2.79721440e-03 -5.39734042e-02 -1.27371307e-04 -1.75543779e-06
 -1.26832780e-06  2.91523837e-04]",0.056935,0
"[[219, 165], [285, 177], [241, 179], [258, 166], [252, 179], [265, 176], [223, 173], [287, 161]]",5,0.134244,0.024721,0.028418,"[-8.07024082e-04 -4.97687134e-02 -9.45434772e-05 -1.91445573e-06
 -1.10788302e-06  2.64945047e-04]",0.06696,0
"[[219, 166], [285, 178], [241, 180], [258, 167], [251, 179], [264, 176], [223, 174], [288, 161]]",6,0.13382,0.023959,0.027834,"[-1.97716901e-03 -5.10877041e-02 -1.14873757e-04 -1.70286792e-06
 -1.16319629e-06  2.70645218e-04]",0.067069,0
"[[219, 166], [284, 178], [240, 180], [258, 167], [251, 180], [264, 177], [223, 175], [288, 162]]",7,0.133922,0.022073,0.026094,"[-2.53235217e-03 -5.36286585e-02 -1.32558589e-04 -1.63396993e-06
 -1.27267705e-06  2.91426640e-04]",0.070047,0
"[[220, 167], [284, 179], [241, 180], [259, 168], [252, 180], [264, 177], [224, 175], [288, 163]]",8,0.132083,0.022941,0.026652,"[-9.71676231e-04 -5.27495523e-02 -1.26175957e-04 -1.64549118e-06
 -1.26685929e-06  2.92602903e-04]",0.068536,0
"[[220, 167], [285, 179], [241, 181], [260, 169], [252, 181], [264, 177], [224, 176], [288, 163]]",9,0.135855,0.024282,0.028015,"[-9.05337795e-04 -5.05468013e-02 -1.19511030e-04 -1.57191578e-06
 -1.18115995e-06  2.72998366e-04]",0.070305,0
"[[219, 168], [285, 180], [240, 181], [260, 169], [251, 181], [264, 178], [224, 176], [288, 164]]",10,0.132954,0.023847,0.027473,"[-1.90631456e-03 -5.24698765e-02 -1.28666669e-04 -1.58870964e-06
 -1.23466284e-06  2.85488787e-04]",0.066721,0
"[[220, 168], [285, 180], [240, 181], [260, 169], [251, 182], [264, 178], [224, 176], [288, 164]]",11,0.133595,0.024079,0.028036,"[-1.90137837e-03 -5.37929110e-02 -1.37802201e-04 -1.54681569e-06
 -1.29458626e-06  2.97433110e-04]",0.066965,0
"[[220, 169], [285, 181], [241, 182], [260, 170], [252, 182], [264, 179], [224, 177], [288, 165]]",12,0.132867,0.023291,0.027128,"[-9.11631194e-04 -5.19542494e-02 -1.22234602e-04 -1.64650763e-06
 -1.23227095e-06  2.87442914e-04]",0.066644,0
"[[221, 169], [285, 182], [240, 182], [261, 170], [252, 182], [264, 179], [224, 178], [289, 165]]",13,0.133195,0.022729,0.026987,"[-2.81839621e-03 -5.69356467e-02 -1.62496736e-04 -1.41721552e-06
 -1.41929343e-06  3.20283383e-04]",0.067339,0
"[[220, 170], [285, 182], [240, 182], [261, 171], [251, 183], [263, 179], [224, 178], [289, 166]]",14,0.13242,0.023415,0.027116,"[-2.20530960e-03 -5.39105916e-02 -1.50342693e-04 -1.34244573e-06
 -1.30394818e-06  2.98006094e-04]",0.06682,0
"[[221, 170], [285, 182], [241, 183], [262, 172], [253, 183], [265, 180], [225, 178], [289, 167]]",15,0.13473,0.023789,0.027449,"[-6.22153018e-04 -5.29835840e-02 -1.37270680e-04 -1.46022847e-06
 -1.27991588e-06  2.98276962e-04]",0.069902,0
