keypoints,iteration_number,delta_loop,delta_interference,delta_extract_featurepoints,dp,delta_camera,lin_factor
"[[171, 214], [232, 221], [192, 223], [177, 207], [236, 210], [195, 214], [187, 208], [201, 223], [215, 215], [205, 215], [217, 205], [182, 216], [223, 221], [242, 204], [182, 225], [209, 206], [242, 219], [226, 206], [173, 223], [198, 206]]",goal keypoints,,1.598803,1.606127
"[[209, 179], [277, 169], [232, 166], [218, 164], [284, 176], [240, 178], [229, 176], [242, 169], [257, 165], [251, 178], [264, 175], [222, 172], [268, 168], [287, 159], [222, 181], [256, 170], [285, 171], [274, 175], [212, 169], [243, 168]]",1,0.172551,0.025952,0.03008,"[-8.81513303e-03 -6.93760091e-02 -1.94594844e-04 -2.13366278e-06
 -1.85697764e-06  3.88608117e-04]",0.098142,0
"[[209, 179], [277, 169], [232, 166], [218, 164], [284, 176], [240, 178], [229, 176], [242, 169], [258, 164], [251, 178], [264, 175], [222, 172], [268, 167], [287, 159], [222, 181], [256, 170], [285, 171], [274, 175], [212, 169], [243, 167]]",2,0.15229,0.026061,0.033696,"[-9.23996344e-03 -7.05345813e-02 -2.02516744e-04 -2.11078589e-06
 -1.90324571e-06  3.96430394e-04]",0.07983,0
"[[209, 179], [276, 169], [232, 167], [218, 164], [284, 176], [240, 179], [229, 176], [242, 170], [258, 165], [251, 178], [263, 175], [222, 173], [267, 168], [287, 160], [223, 181], [255, 171], [285, 171], [274, 176], [213, 170], [243, 168]]",3,0.122194,0.025301,0.032768,"[-7.95698252e-03 -6.81189204e-02 -1.86966138e-04 -2.14475093e-06
 -1.82575999e-06  3.82787071e-04]",0.048413,0
"[[210, 179], [278, 170], [233, 167], [219, 165], [285, 177], [241, 179], [229, 176], [244, 171], [259, 166], [252, 179], [264, 176], [223, 173], [269, 169], [288, 160], [223, 181], [256, 171], [286, 172], [275, 176], [214, 171], [244, 168]]",4,0.131232,0.023853,0.031242,"[-7.97487971e-03 -6.73686500e-02 -1.93020985e-04 -1.96412395e-06
 -1.79325089e-06  3.74067096e-04]",0.057353,0
"[[210, 179], [278, 171], [234, 168], [219, 165], [285, 177], [241, 179], [229, 176], [244, 171], [258, 166], [252, 179], [264, 176], [223, 173], [268, 169], [288, 161], [224, 182], [255, 172], [286, 173], [274, 177], [215, 171], [244, 169]]",5,0.124085,0.023133,0.02674,"[-6.75956991e-03 -6.54121711e-02 -1.81879965e-04 -1.96787928e-06
 -1.73994545e-06  3.64208273e-04]",0.056988,0
"[[210, 180], [278, 171], [234, 169], [220, 166], [285, 178], [241, 180], [229, 177], [244, 172], [259, 167], [252, 180], [264, 176], [223, 174], [269, 170], [288, 161], [224, 183], [255, 172], [287, 173], [275, 177], [215, 173], [244, 169]]",6,0.140479,0.026749,0.033812,"[-6.28060603e-03 -6.27543168e-02 -1.75928752e-04 -1.81707132e-06
 -1.63814736e-06  3.42759919e-04]",0.067498,0
"[[210, 180], [278, 172], [235, 170], [220, 166], [285, 178], [241, 180], [229, 177], [245, 173], [259, 168], [252, 180], [264, 177], [224, 175], [269, 171], [289, 162], [225, 183], [255, 172], [287, 174], [275, 177], [216, 173], [244, 169]]",7,0.122177,0.023052,0.027563,"[-4.87989434e-03 -5.94530040e-02 -1.69644146e-04 -1.59896685e-06
 -1.53466946e-06  3.21321543e-04]",0.057385,0
"[[211, 180], [279, 173], [236, 171], [220, 167], [285, 179], [241, 180], [230, 177], [246, 174], [260, 168], [252, 180], [265, 177], [225, 175], [270, 172], [289, 163], [226, 184], [256, 173], [287, 174], [275, 177], [217, 174], [244, 169]]",8,0.145005,0.024464,0.028333,"[-3.06843800e-03 -5.50885463e-02 -1.52212631e-04 -1.48593841e-06
 -1.39105123e-06  2.92356499e-04]",0.078804,0
"[[211, 180], [280, 173], [237, 172], [221, 167], [286, 179], [242, 180], [230, 177], [247, 175], [262, 169], [253, 181], [265, 177], [225, 175], [272, 172], [289, 163], [226, 184], [257, 173], [288, 175], [275, 178], [217, 174], [245, 170]]",9,0.125429,0.025552,0.029577,"[-3.70387211e-03 -5.59408782e-02 -1.65849571e-04 -1.33624930e-06
 -1.42002833e-06  2.95136891e-04]",0.056981,0
